panel	participant	line	also_matches	pm	label
run 72	P-1	immersion		12.0	Domain immersion, architecture and technology selection (DHT and alternatives studied)
run 72	P-1	render workers	worker framework	4.0	Render worker host: job model, node-side execution, restart and isolation on the Windows cluster, printer-driver harness
run 72	P-1	render workers		10.0	Format renderers: 8–10 input formats, each integrated and stabilised
run 72	P-1	OCR		6.0	OCR workers and TIFF→PDF conversion with digitisation on a third-party library
run 72	P-1	delivery-control core		23.0	Delivery-control core: watchdogs, tokens, unordered status store, per-fax status and resume, holding at ~30/s nominal with ~300/s bursts
run 72	P-1	cluster management		6.0	Cluster management tool: queue lengths, node health and work placement over 16–20 nodes
run 72	P-1	data layer / API		9.0	Data layer: DB schema, the inter-component API the components talk through, Lustre integration for the fax archive and working files
run 72	P-1	Rx path		8.0	Rx path in the data centre: intake of TIFF from 10–20 PoPs, per-user page-by-page vs PDF configuration, email assembly and mass delivery
run 72	P-1	Tx parser		8.0	Tx path: inbound-email parser, fax-number extraction, attachment handling, archive packaging and hand-off
run 72	P-1	NOC		9.0	NOC internal control centre: state of the remote PoPs, the cluster and the queues
run 72	P-1	portal		10.0	User portal
run 72	P-1	CDR		3.0	CDR and billing-data capture (billing itself out)
run 72	P-1	old-system / reused integration		6.0	Integration with the reused PoP software and least-cost routing, and coexistence with v1 through the transition
run 72	P-1	real-stream / load testing	worker framework	10.0	Integration tests on the real stream and the comparison harness against the old system
run 72	P-1	load / burst rig (a built thing)		4.0	Load-generation and failure-injection rig for the burst mode (~300/s) and the end-to-end campaign run on it across the cluster and the PoPs
run 72	P-1	rollout / cutover		5.0	Rollout to production traffic and readiness to decommission v1
run 72	P-1	PM		14.0	Project management and coordination (one line): one PM/scrum lead at ~0.8 FTE across the ~18 calendar months the total implies, heavier in the planning phase, lighter in steady-state scrum
run 72	P-2	immersion		12.0	Domain immersion, architecture and technology selection (DHT etc.), whole blended team
run 72	P-2	render workers	worker framework	4.0	Render worker host: job model, node-side execution, restart and isolation on the Windows cluster
run 72	P-2	render workers		11.0	Format renderers: 8–10 input formats via the printer-driver path, each integrated and stabilised
run 72	P-2	OCR		6.0	OCR workers and TIFF→PDF conversion with digitisation on a third-party library
run 72	P-2	delivery-control core		22.0	Delivery-control core: watchdogs + tokens over an unordered store, per-fax status, resume after failure
run 72	P-2	load / burst rig (a built thing)		6.0	Load-generation and failure-injection rig, and the end-to-end runs made on it at ~30/s nominal and ~300/s burst
run 72	P-2	cluster management		6.0	Cluster management tool: node and queue-length control, job placement over 16–20 nodes
run 72	P-2	Rx path		9.0	Rx path in the data centre: intake of TIFF from the PoPs, per-user configuration, e-mail assembly and dispatch
run 72	P-2	Tx parser		8.0	Tx path: inbound-mail parser, number extraction, attachment handling, archive hand-off to a PoP
run 72	P-2	data layer / API		9.0	Data layer: DB schema and the API the components talk through; Lustre archive and working files
run 72	P-2	old-system / reused integration		3.0	Interfaces to the reused PoP software and the least-cost routing program
