element	class
N02	aggregate
N03	aggregate
N04	aggregate
N05	aggregate
N06	aggregate
N07	aggregate
N08	aggregate
N09	aggregate
N10	aggregate
N11	aggregate
N12	aggregate
N13	aggregate
N14	aggregate
N15	aggregate
N16	aggregate
N17	aggregate
N18	aggregate
N19	aggregate
N20	aggregate
N21	aggregate
N22	aggregate
N23	aggregate
CN01	aggregate
A001	store
A002	surface
A003	behaviour
A004	behaviour
A005	statement
A006	statement
A007	behaviour
A008	behaviour
A009	store
A010	store
A011	behaviour
A012	store
A013	behaviour
A014	behaviour
A015	behaviour
A016	surface
A017	store
A018	store
A019	behaviour
A020	behaviour
A021	store
A022	behaviour
A023	surface
A024	behaviour
A025	interface
A026	behaviour
A027	surface
A028	behaviour
A029	behaviour
A030	behaviour
A031	behaviour
A032	behaviour
A033	surface
A034	interface
A035	store
A036	surface
A037	behaviour
A038	interface
A039	interface
A040	surface
A041	behaviour
A042	behaviour
A043	behaviour
A044	store
A045	behaviour
A046	behaviour
A047	surface
A048	store
A049	surface
A050	store
A051	behaviour
A052	behaviour
A053	interface
A054	interface
A055	interface
A056	interface
A057	interface
A058	interface
A059	interface
A060	behaviour
A061	surface
A062	store
A063	behaviour
A064	behaviour
A065	statement
A066	behaviour
A067	behaviour
A068	behaviour
A069	behaviour
A070	surface
A071	behaviour
A072	behaviour
A073	surface
A074	surface
A075	behaviour
A076	store
A077	store
A078	behaviour
A079	behaviour
A080	store
A081	behaviour
A082	behaviour
A083	store
A084	surface
A085	behaviour
A086	behaviour
A087	store
A088	behaviour
A089	store
A090	surface
A091	surface
A092	behaviour
A093	surface
A094	behaviour
A095	surface
A096	behaviour
A097	surface
A098	surface
A099	behaviour
A100	behaviour
A101	behaviour
A102	behaviour
A103	behaviour
A104	surface
A105	behaviour
A106	surface
A107	surface
A108	interface
A109	store
A110	behaviour
A111	behaviour
A112	behaviour
A113	behaviour
A114	surface
A115	behaviour
A116	surface
A117	surface
A118	surface
A119	surface
A120	behaviour
A121	behaviour
A122	store
A123	behaviour
A124	behaviour
A125	behaviour
A126	behaviour
A127	behaviour
A128	behaviour
A129	store
A130	behaviour
A131	store
A132	surface
A133	behaviour
A134	surface
A135	surface
A136	behaviour
A137	behaviour
A138	surface
A139	surface
A140	interface
A141	interface
A142	surface
A143	store
A144	behaviour
A145	statement
A146	interface
A147	behaviour
A148	behaviour
A149	statement
A150	statement
A151	statement
A152	statement
A153	statement
A154	statement
A155	statement
A156	statement
A157	behaviour
A158	statement
A159	statement
A160	statement
A161	statement
A162	statement
A163	statement
A164	statement
A165	behaviour
A166	behaviour
A167	behaviour
A168	behaviour
A169	behaviour
A170	store
A171	statement
C01	store
C02	behaviour
C03	interface
C04	behaviour
C05	behaviour
C06	store
C07	behaviour
C08	behaviour
C09	surface
C10	surface
C11	behaviour
C12	behaviour
C13	behaviour
C14	behaviour
C15	behaviour
C16	behaviour
