batch	activity	element	cycle	class
A	K1	A001	1	store
A	K1	A002	1	surface
A	K1	A012	1	store
A	K1	A019	1	behaviour
A	K1	A034	1	interface
A	K1	A059	1	interface
A	K1	A076	1	store
A	K1	A089	1	store
A	K1	A140	1	interface
A	K1	A141	1	interface
A	K1	A143	1	store
A	K1	A144	1	behaviour
A	K1	A148	1	behaviour
A	K1	C05	1	behaviour
A	K1	C08	1	behaviour
A	K1	C10	1	surface
A	K1	C12	1	behaviour
A	K1	C13	1	behaviour
A	K1	C14	1	behaviour
A	K1	C16	1	behaviour
A	K2	A001	1	store
A	K2	A002	1	surface
A	K2	A012	1	store
A	K2	A019	1	behaviour
A	K2	A034	1	interface
A	K2	A059	1	interface
A	K2	A076	1	store
A	K2	A089	1	store
A	K2	A140	1	interface
A	K2	A141	1	interface
A	K2	A143	1	store
A	K2	A144	1	behaviour
A	K2	A148	1	behaviour
A	K2	C05	1	behaviour
A	K2	C08	1	behaviour
A	K2	C10	1	surface
A	K2	C12	1	behaviour
A	K2	C13	1	behaviour
A	K2	C14	1	behaviour
A	K2	C16	1	behaviour
A	K3	A005	1	statement
A	K3	A006	1	statement
A	K3	A145	1	statement
A	K3	A149	1	statement
A	K3	A150	1	statement
A	K3	A151	1	statement
A	K3	A152	1	statement
A	K3	A153	1	statement
A	K3	A163	1	statement
A	K3	A171	1	statement
A	A2	A001	1	store
A	A2	A002	1	surface
A	A2	A012	1	store
A	A2	A019	1	behaviour
A	A2	A034	1	interface
A	A2	A059	1	interface
A	A2	A076	1	store
A	A2	A089	1	store
A	A2	A140	1	interface
A	A2	A141	1	interface
A	A2	A143	1	store
A	A2	A144	1	behaviour
A	A2	A148	1	behaviour
A	A2	C05	1	behaviour
A	A2	C08	1	behaviour
A	A2	C10	1	surface
A	A2	C12	1	behaviour
A	A2	C13	1	behaviour
A	A2	C14	1	behaviour
A	A2	C16	1	behaviour
A	A3	A001	1	store
A	A3	A002	1	surface
A	A3	A012	1	store
A	A3	A019	1	behaviour
A	A3	A034	1	interface
A	A3	A059	1	interface
A	A3	A076	1	store
A	A3	A089	1	store
A	A3	A140	1	interface
A	A3	A141	1	interface
A	A3	A143	1	store
A	A3	A144	1	behaviour
A	A3	A148	1	behaviour
A	A3	C05	1	behaviour
A	A3	C08	1	behaviour
A	A3	C10	1	surface
A	A3	C12	1	behaviour
A	A3	C13	1	behaviour
A	A3	C14	1	behaviour
A	A3	C16	1	behaviour
A	A4	A001	1	store
A	A4	A002	1	surface
A	A4	A012	1	store
A	A4	A019	1	behaviour
A	A4	A034	1	interface
A	A4	A059	1	interface
A	A4	A076	1	store
A	A4	A089	1	store
A	A4	A140	1	interface
A	A4	A141	1	interface
A	A4	A143	1	store
A	A4	A144	1	behaviour
A	A4	A148	1	behaviour
A	A4	C05	1	behaviour
A	A4	C08	1	behaviour
A	A4	C10	1	surface
A	A4	C12	1	behaviour
A	A4	C13	1	behaviour
A	A4	C14	1	behaviour
A	A4	C16	1	behaviour
A	A10	A034	1	interface
A	A10	A059	1	interface
A	A10	A140	1	interface
A	A10	A141	1	interface
A	D4	A001	1	store
A	D4	A002	1	surface
A	D4	A005	1	statement
A	D4	A006	1	statement
A	D4	A012	1	store
A	D4	A019	1	behaviour
A	D4	A034	1	interface
A	D4	A059	1	interface
A	D4	A076	1	store
A	D4	A089	1	store
A	D4	A140	1	interface
A	D4	A141	1	interface
A	D4	A143	1	store
A	D4	A144	1	behaviour
A	D4	A145	1	statement
A	D4	A148	1	behaviour
A	D4	A149	1	statement
A	D4	A150	1	statement
A	D4	A151	1	statement
A	D4	A152	1	statement
A	D4	A153	1	statement
A	D4	A163	1	statement
A	D4	A171	1	statement
A	G2m	A001	1	store
A	G2m	A012	1	store
A	G2m	A076	1	store
A	G2m	A089	1	store
A	G3m	A001	1	store
A	G3m	A012	1	store
A	G3m	A076	1	store
A	G3m	A089	1	store
A	G4m	A001	1	store
A	G4m	A012	1	store
A	G4m	A076	1	store
A	G4m	A089	1	store
A	A5	N02	1	aggregate
A	A5	N02	2	aggregate
A	A5	N03	1	aggregate
A	A5	N03	2	aggregate
A	A5	N04	1	aggregate
A	A5	N04	2	aggregate
A	A5	N05	1	aggregate
A	A5	N05	2	aggregate
A	A5	CN01	1	aggregate
A	A5	CN01	2	aggregate
A	A6	N02	1	aggregate
A	A6	N02	2	aggregate
A	A6	N03	1	aggregate
A	A6	N03	2	aggregate
A	A6	N04	1	aggregate
A	A6	N04	2	aggregate
A	A6	N05	1	aggregate
A	A6	N05	2	aggregate
A	A6	CN01	1	aggregate
A	A6	CN01	2	aggregate
A	A7	N02	1	aggregate
A	A7	N03	1	aggregate
A	A7	N04	1	aggregate
A	A7	N05	1	aggregate
A	A7	CN01	1	aggregate
A	A8	N02	1	aggregate
A	A8	N03	1	aggregate
A	A8	N04	1	aggregate
A	A8	N05	1	aggregate
A	A8	CN01	1	aggregate
A	D2	N02	1	aggregate
A	D2	N03	1	aggregate
A	D2	N04	1	aggregate
A	D2	N05	1	aggregate
A	D2	CN01	1	aggregate
A	U1	N02	1	aggregate
A	U1	N03	1	aggregate
A	U1	N05	1	aggregate
A	U2	N02	1	aggregate
A	U2	N02	2	aggregate
A	U2	N03	1	aggregate
A	U2	N03	2	aggregate
A	U2	N05	1	aggregate
A	U2	N05	2	aggregate
A	U3	N02	1	aggregate
A	U3	N02	2	aggregate
A	U3	N03	1	aggregate
A	U3	N03	2	aggregate
A	U3	N05	1	aggregate
A	U3	N05	2	aggregate
A	O1	N02	1	aggregate
A	O1	N03	1	aggregate
A	O1	N05	1	aggregate
B	K1	A007	1	behaviour
B	K1	A008	1	behaviour
B	K1	A009	1	store
B	K1	A013	1	behaviour
B	K1	A014	1	behaviour
B	K1	A015	1	behaviour
B	K1	A016	1	surface
B	K1	A017	1	store
B	K1	A018	1	store
