D1	ILF	Low
D2	ILF	Low
D3	ILF	Low
D4	ILF	Low
D5	ILF	Low
D6	ILF	Low
D7	ILF	Low
D8	ILF	Low
D9	ILF	Low
D10	EIF	Low
D11	EIF	Low
D12	EIF	Low
D13	EIF	Low
D14	EIF	Low
T1	EO	High
T2	EI	Low
T3	EI	Low
T4	EI	Low
T5	EI	Low
T6	EO	Low
T7	EI	Low
T8	EI	Low
T9	EI	Low
T10	EI	Low
T11	EI	Low
T12	EI	Low
T13	EI	Low
T14	EI	Low
T15	EI	Low
T16	EO	Low
T17	EO	Low
T18	EO	Low
T19	EO	Low
T20	EI	Low
T21	EI	Low
T22	EI	Low
T23	EO	Low
T24	EI	Low
T25	EI	Low
T26	EQ	Low
T27	EI	Low
T28	EQ	Low
T29	EI	Low
T30	EI	Low
T31	EI	Low
T32	EQ	Low
T33	EQ	Low
T34	EQ	Low
T35	EO	Low
T36	EI	Low
T37	EQ	Low
T38	EQ	Low
