D1	ILF	Low
D2	ILF	Low
D3	ILF	Low
D4	ILF	Low
D5	ILF	Low
D6	ILF	Low
D7	ILF	Low
D8	ILF	Low
D9	ILF	Low
D10	EIF	Low
D11	EIF	Low
D12	EIF	Low
D13	EIF	Low
D14	EIF	Low
T01	EI	Low
T02	EI	Average
T03	EI	Low
T04	EI	Low
T05	EI	Low
T06	EI	Low
T07	EI	Low
T08	EI	Low
T09	EI	Low
T10	EI	Low
T11	EI	Low
T12	EI	Low
T13	EI	Low
T14	EI	Low
T15	EI	Low
T16	EI	Low
T17	EI	Low
T18	EI	Low
T19	EI	Low
T20	EI	Low
T21	EI	Low
T22	EI	Low
T23	EO	Average
T24	EO	Low
T25	EO	Low
T26	EO	Low
T27	EO	Low
T28	EO	Low
T29	EQ	Low
T30	EQ	Low
T31	EQ	Low
T32	EQ	Low
T33	EQ	Low
